symbol,pval,FC_type2vstype1
CADM2,0.000632312,1.559894256
CALCB,0.001008268,1.500201625
CALCOCO2,0.00053212,1.124707198
CALCRL,5.27E-07,1.922515382
CALHM2,0.000651675,1.410799508
CALM3,7.59E-10,1.327148053
CALR,5.16E-05,1.218641748
CAMK2A,0.00205636,1.896800806
CAMK2N1,0.004180203,1.3575723
CAMLG,1.95E-14,1.467284583
CANX,2.36E-09,1.438412204
CAP1,0.001573256,1.13275719
CAPN14,3.74E-05,1.859980982
CAPN8,0.007971366,1.678002417
CAPRIN1,0.001238377,1.168778003
CARS,3.12E-05,1.216408769
CASP10,0.000856288,1.239043782
CASP12,0.005085087,1.396366954
CASP5,0.003898134,1.297208455
CASQ2,8.95E-07,2.872554503
CATSPER3,2.46E-06,1.781923113
CATSPERG,0.00089201,1.813600193
CAT,2.04E-09,1.858587703
CBR1,4.16E-07,1.505859974
CBR3,2.77E-05,1.89232233
CBWD1,9.74E-06,1.388201047
CBX4,0.000980852,1.231034156
CCDC127,0.00378816,1.145512178
CCDC141,1.37E-06,1.813384818
CCDC150,0.003950125,1.675872545
CCDC21,0.000188659,1.245490708
CCDC33,0.003834567,1.307006744
CCDC3,0.004502205,1.582692543
CCDC67,0.00612727,1.48449082
CCDC6,0.004293765,1.137196736
CCDC80,8.86E-07,2.616069152
CCDC88C,0.001258624,1.496953969
CCK,0.000341824,1.312759847
CCL11,8.47E-06,2.483426953
CCL14-CCL15,0.004255396,2.286227466
CCL19,1.10E-05,3.800222794
CCL20,0.000629116,2.076069223
CCL21,0.000686482,2.999557765
CCL26,0.000190344,1.699498713
CCL8,5.29E-08,2.874490143
CCND1,0.007653506,1.348364244
CCNDBP1,6.84E-05,1.235405506
CCNG1,3.66E-15,1.911570802
CCNH,2.54E-05,1.19444637
CCNI,0.005077989,1.364707604
CCNJL,3.14E-11,4.3870678
CCPG1,0.001764287,1.244631687
CCR8,0.000217029,1.526541336
CCRN4L,1.70E-09,2.065621014
CCT7,2.50E-06,1.243515493
CCT8,3.34E-06,1.268930338
CD164,0.000104703,1.223108807
CD177,6.22E-09,2.679387768
CD209,0.002593267,1.730595559
CD248,1.55E-05,1.969279183
CD274,2.07E-08,2.572930733
CD34,2.78E-09,2.31393394
CD36,2.10E-06,2.456513353
CD55,2.21E-06,1.592427718
CD79A,0.004423723,1.990443068
CD79B,0.004517746,1.566125311
CD93,2.77E-08,1.991210729
CDADC1,0.006670113,1.207991019
CDA,0.003698123,1.753979481
CDC123,2.07E-06,1.213810998
CDC20B,1.77E-06,2.543604698
CDC23,0.000560511,1.179206207
CDC37L1,7.00E-05,1.261015392
CDC42SE1,0.007625631,1.131948805
CDC5L,0.00610212,1.209050183
CDH10,0.00442827,1.352308098
CDH11,3.96E-05,2.61600221
CDH13,1.76E-09,2.877864675
CDH15,0.000275892,1.579059596
CDH16,4.43E-05,1.992585824
CDH19,0.000377653,1.736008331
CDH20,0.000167404,1.6783258
CDH3,0.000117615,3.20143202
CDH5,6.44E-10,2.237372265
CDH8,0.005432908,1.532028306
CDIPT,0.000869297,1.177420684
CDK16,0.000648801,1.152548877
CDK18,5.09E-08,1.537860239
CDK5RAP2,0.002212019,1.139694787
CDKL1,0.002580614,1.6567659
CDON,0.001448107,1.479321188
CDS2,1.22E-05,1.296563098
CDV3,0.000665472,1.230272552
CDYL2,0.000775928,1.68420027
CEACAM1,1.15E-09,2.756213693
CEACAM7,0.001937557,1.486002408
CECR7,6.77E-05,2.368854273
CENPBD1,0.000707152,1.197589839
CENPN,2.29E-06,1.377166656
CENPP,0.007376987,1.432891127
CEPT1,0.000574454,1.166760069
CERCAM,0.001145276,1.654675192
CES2,0.00140698,1.355055059
CES7,4.78E-05,1.573379872
CES8,7.61E-05,1.963411796
CFL2,1.97E-11,1.661085592
CGA,0.005655979,1.56263972
CGNL1,1.62E-06,3.157513922
CGN,0.004642539,1.65865656
CHAC1,1.21E-07,2.628523454
CHAC2,0.000948439,1.324931536
CHAT,0.004280129,1.142379
CHD1L,2.68E-05,1.258816868
CHD4,0.001308813,1.131502912
CHGA,1.58E-08,4.059630635
CHIA,7.31E-05,1.598297996
CHIC1,4.78E-07,1.302309147
CHMP5,0.009228188,1.154844508
CHMP7,6.39E-11,1.285606024
CHM,1.81E-05,1.402574396
CHPT1,5.63E-08,1.567043535
CHP,3.38E-05,1.260748803
CHRDL2,4.85E-06,2.319726797
CHRM1,1.09E-06,2.54765849
CHRM3,1.12E-06,2.621816464
CHRM4,0.002502471,1.450240379
CHRNA4,0.004824345,2.113613669
CHRNA7,0.008965947,1.503485698
CHRNB4,0.002971398,1.676102137
CHST11,0.000115169,1.624574572
CHST1,0.000154806,1.837756006
CHST6,0.000324277,1.994192281
CHST8,0.000302839,1.678831156
CHSY3,1.11E-06,1.867220486
CHURC1,0.005122537,1.160169937
CIB4,0.001791298,1.309461213
CILP2,0.006661056,1.483700061
CILP,0.001773508,1.889132674
CINP,0.00015579,1.206746747
CIRH1A,0.002383585,1.294143881
CISD2,6.93E-07,1.274899721
CITED1,4.62E-05,1.650222781
CIZ1,0.004200151,1.140069551
CKAP2,1.80E-05,1.411326762
CKAP5,4.92E-05,1.249749726
CKMT2,0.001741465,2.777587655
CKS2,5.52E-05,1.565534646
CLCA2,0.001661621,1.466518561
CLCC1,0.004634848,1.104437937
CLCN3,0.000747534,1.382868125
CLCN4,0.000162766,1.392314794
CLCN7,0.006623238,1.242096262
CLDN11,0.000210306,2.566259329
CLEC14A,1.35E-06,1.779554899
CLEC1A,1.67E-05,1.729690243
CLEC2L,0.00014833,1.468552684
CLEC3A,0.009209456,1.209876695
CLIC2,0.000154762,1.613987521
CLINT1,6.58E-07,1.459862305
CLIP3,0.001041299,1.805455306
CLIP4,8.17E-05,1.459501442
CLN3,0.000104929,1.266363166
CLP1,0.001500186,1.152080215
CLPB,1.52E-05,1.371583173
CLPTM1L,2.28E-09,1.457094828
CLPTM1,1.68E-08,1.317988773
CLPX,7.05E-05,1.298613644
CLTB,0.001332211,1.241543329
CMBL,4.55E-13,2.621623883
CMIP,0.008165271,1.214273291
CMTM4,0.000924477,1.363522655
CMTM8,1.95E-05,1.415510782
CNBP,8.03E-05,1.194812864
CNIH,1.98E-05,1.277220381
CNN1,1.77E-06,3.216159544
CNN3,9.38E-06,1.342889846
CNNM2,4.37E-08,1.58646993
CNOT8,0.00010396,1.186049807
CNR2,0.005243292,1.395081127
CNRIP1,0.000280518,1.490559817
CNTFR,0.001819092,2.144823013
CNTN1,0.008406198,2.284011321
CNTN5,0.006893642,1.462674773
CNTNAP2,0.000108755,2.055922811
COCH,1.54E-05,2.949062642
COL10A1,7.82E-06,2.706296575
COL11A1,0.000989371,2.122287689
COL12A1,0.000236979,1.82913265
COL14A1,7.19E-06,3.031125618
COL15A1,0.000284595,1.82711641
COL16A1,0.002127725,1.636463964
COL1A1,0.000435454,1.93652056
COL1A2,0.002379682,1.699841717
COL20A1,1.69E-05,1.293894759
COL21A1,0.000107711,2.268931096
COL22A1,0.00443142,2.083940791
COL24A1,0.009230208,1.555658409
COL3A1,1.19E-06,2.759330808
COL4A1,1.54E-07,1.784618207
COL5A1,1.31E-05,2.362463718
COL5A2,2.60E-09,2.502250868
COL5A3,1.25E-12,3.95487502
COL6A3,1.35E-06,2.900351461
COMMD10,4.38E-05,1.269587383
COMP,0.000182627,3.183779432
COPB1,9.78E-09,1.377309417
COPB2,0.00140484,1.191588383
COPG,0.000358994,1.185128266
COPS2,7.65E-08,1.334438056
COPS4,0.000718962,1.225211777
COPS5,0.000372747,1.152085745
COPS8,0.001163098,1.15504641
COQ10B,0.008679108,1.139670905
COX4I2,2.28E-05,1.978776595
COX6A2,9.68E-05,2.099846303
COX7A2L,4.96E-08,1.290863836
CPEB1,0.004388722,1.86195441
CPEB4,9.80E-07,1.636201562
CPLX2,4.69E-05,3.200397607
CPN1,0.004390777,1.684297077
CPNE2,0.004088697,1.244153654
CPNE3,1.54E-06,1.380104451
CPNE5,8.84E-06,2.131170558
CPPED1,1.80E-07,1.422627149
CPS1,0.000103384,2.830064674
CPT1A,2.01E-08,1.613524325
CPT1C,0.000294502,1.753464316
CPT2,0.005203393,1.255103048
CPXM2,2.34E-06,3.524367606
CR1L,2.91E-08,2.938250355
CR2,0.000165369,3.064653274
CRABP1,0.000427584,2.504006321
CREB3L1,4.97E-10,5.107529424
CREB3L3,1.02E-05,3.313545576
CREG1,5.77E-07,1.458085443
CRIPT,1.28E-07,1.304136577
CRISP2,0.002692001,1.797158894
CRNN,0.000292726,1.669185736
CRP,0.008783239,1.807167048
CRYAA,0.000344397,3.709230905
CRYGN,0.000976647,1.245725706
CSAG3,0.0014418,1.42236547
CSDE1,2.36E-06,1.290047691
CSF1,0.00199814,1.445719535
CSGALNACT1,0.000374879,1.930129915
CSMD2,2.96E-05,2.00453357
CSNK1G3,0.000365669,1.202259853
CSNK2A2,0.0053455,1.137326313
CSPG4,2.44E-10,2.566968118
CSRP1,1.68E-09,1.666310013
CSRP2,9.87E-06,1.822009427
CSTF2,4.76E-07,1.354880266
CTBS,2.99E-05,1.344940691
CTH,4.02E-09,2.151349362
CTNNA2,1.85E-06,1.868697744
CTNNA3,1.92E-05,1.507476835
CTNND2,8.61E-06,2.195459723
CTR9,1.79E-07,1.327589789
CTSA,0.003388394,1.256979398
CTSB,0.000264423,1.427336078
CUL2,0.005675843,1.142546887
CUL7,0.000454323,1.218470325
CUTC,0.002552218,1.150901705
CWC27,8.84E-06,1.219223798
CXCL10,5.21E-09,2.925712306
CXCL11,2.11E-06,2.278864449
CXCL13,0.000107552,3.026441033
CXCL9,0.000116537,2.255748553
CXXC5,2.91E-06,1.508549224
CXorf36,5.96E-09,1.908763524
CXorf56,7.15E-05,1.454596616
CYB5R1,0.000150746,1.319296835
CYB5R4,0.000161781,1.322714174
CYB5RL,0.000583909,1.352334669
CYBRD1,0.000100239,1.83767568
CYC1,0.001376293,1.229518979
CYFIP2,0.000295181,1.612795374
CYP17A1,0.000116063,3.539393833
CYP1B1,0.000974287,1.795495306
CYP26A1,0.000145087,1.830147935
CYP26C1,0.000166918,1.519436988
CYP2B6,0.00030316,3.158044115
CYP46A1,0.000558257,1.517601088
CYP4B1,3.79E-05,2.27198471
CYP4F11,1.96E-06,2.888266109
CYP4F2,1.53E-05,4.873962406
CYP4F3,0.00031838,3.181615869
CYP51A1,0.00258638,1.266421639
CYR61,0.002393708,1.701105257
CYTSB,0.001822375,1.436345213
CYYR1,2.06E-07,2.140091017
DAAM1,0.009469689,1.379169708
DAAM2,1.60E-05,2.279479843
DAB1,0.001074318,1.526845126
DACH2,0.003186402,1.742412434
DACT3,8.60E-06,2.069655695
DAD1,0.007982925,1.137628645
DAP3,5.41E-07,1.245939933
DAP,0.000244529,1.210991905
DBI,7.12E-05,1.342687925
DBX2,0.002665832,1.376374661
DCAF13,8.35E-12,1.405503944
DCC,0.000887661,1.53508123
DCLK3,0.000423419,1.44985007
DCLRE1A,5.32E-05,1.222845155
DCLRE1B,0.005795726,1.161723096
DCPS,0.000709611,1.28196154
DCTN4,2.92E-08,1.255741913
DCTN5,0.002392627,1.164161611
DCTN6,7.35E-06,1.272046708
DCUN1D3,0.001384016,1.213832654
DCUN1D5,0.000162321,1.236433693
DCX,0.000590569,1.764349141
DDB1,2.92E-09,1.264204703
DDI2,0.001444454,1.902520314
DDIT3,0.003042738,1.344295856
DDIT4L,2.39E-05,2.577223802
DDR2,6.61E-10,4.180424573
DDTL,0.002699193,1.321564155
DDT,0.000352263,1.358310751
DDX19A,1.81E-05,1.226420874
DDX1,0.002675072,1.1360051
DDX21,0.001083347,1.486840877
DDX50,0.002347221,1.149099186
DDX58,1.54E-05,1.355757129
DDX59,3.07E-07,1.340032738
DEFB132,0.004529528,1.293032255
DEGS1,0.001742716,1.242896242
DENND4A,0.007540806,1.263813767
DENND5A,1.22E-07,1.305580398
DERL3,0.009707839,1.503576688
DES,8.79E-06,4.352123503
DEXI,0.002476676,1.237097384
DFFA,1.34E-06,1.288716673
DGAT1,0.000154099,1.261040001
DGAT2,3.74E-09,3.178855428
DGKG,0.006620846,1.488842888
DGKI,4.09E-05,2.088557766
DGKZ,0.005386277,1.207760402
DHCR7,6.52E-07,1.332066076
DHDDS,0.000222852,1.245561752
DHFR,0.003564106,1.282920864
DHH,0.002797899,1.515374704
DHRS2,0.004157916,1.89554144
DHRS3,2.32E-06,1.541835112
DHRS4L2,0.000181103,1.53136376
DHRS4,1.76E-05,1.61736353
DHRS7,0.003445722,1.199276217
DHX29,0.000782142,1.226328989
DIMT1L,0.000228963,1.178349018
DIO1,2.70E-06,5.415750586
DIO3,8.19E-08,2.328021148
DIRAS1,5.01E-06,3.24502777
DIRAS2,0.002105351,1.816765875
DIRC3,0.000117466,1.627111506
DIS3L,0.001097406,1.193683438
DKK2,0.00016859,1.775507621
DLEU1,0.008613851,1.179679589
DLEU2,1.59E-07,1.677255887
DLEU7,0.003417886,1.417831064
DLK1,0.004183329,1.622588585
DLK2,0.001214541,1.416713514
DLL1,0.000298604,2.092691837
DLL4,7.12E-10,2.196665746
DLX5,0.000243161,1.637489419
DLX6,0.00033002,1.454979066
DMBX1,0.007129855,1.249393053
DMRT1,0.005918924,1.344258081
DMRT2,0.002142261,3.019304265
DMRT3,9.99E-05,1.469947416
